,RowID,Molecule name,Original_SMILES,Number of connected components,Canonical_QSARr,InChI_Code_QSARr,InChI Key_QSARr,Salt_Solvent,Salt_Solvent_ID,MACE_opt_Charge_P,DFT_opt_Charge_P,SMILES_Charge_P
157,175,Molecule_175,CC1(CC1CP(O)(=O)F)C=C,1,CC1(CC1CP(O)(=O)F)C=C,InChI=1S/C7H12FO2P/c1-3-7(2)4-6(7)5-11(89)10/h36H14-5H22H3(H910),WMVNPFTXLCXAES-UHFFFAOYSA-N,,0,0.477687,0.478062,0.48933
158,176,Molecule_176,OP(=O)(F)CCCC=C1CC1,1,OP(=O)(F)CCCC=C1CC1,InChI=1S/C7H12FO2P/c8-11(910)6-2-1-3-7-4-5-7/h3H1-24-6H2(H910),JRFSXCHYGCNAAI-UHFFFAOYSA-N,,0,0.477284,0.477838,0.49134
159,177,Molecule_177,CCC1(CP(O)(=O)F)CC1,1,CCC1(CP(O)(=O)F)CC1,InChI=1S/C6H12FO2P/c1-2-6(3-4-6)5-10(78)9/h2-5H21H3(H89),SRGKILPRFYCIJW-UHFFFAOYSA-N,,0,0.484296,0.48364,0.490037
162,180,Molecule_180,CC12CC1CC2P(O)(=O)F,1,CC12CC1CC2P(O)(=O)F,InChI=1S/C6H10FO2P/c1-6-3-4(6)2-5(6)10(78)9/h4-5H2-3H21H3(H89),BEEISMYOTCRLSI-UHFFFAOYSA-N,,0,0.470106,0.47152,0.478342
163,181,Molecule_181,OP(=O)(F)CC12C3C1CC23,1,OP(=O)(F)CC12C3C1CC23,InChI=1S/C6H8FO2P/c7-10(89)2-6-3-1-4(6)5(3)6/h3-5H1-2H2(H89),PKOLIXWEZBFDSL-UHFFFAOYSA-N,,0,0.483937,0.48315,0.491344
165,184,Molecule_184,OP(=O)(F)C1CC=CC21CC2,1,OP(=O)(F)C1CC=CC21CC2,InChI=1S/C7H10FO2P/c8-11(910)6-2-1-3-7(6)4-5-7/h136H24-5H2(H910),YFNFLJSALRLSDL-UHFFFAOYSA-N,,0,0.4781,0.47396,0.482124
166,185,Molecule_185,OP(=O)(F)C12CC1C1CCC21,1,OP(=O)(F)C12CC1C1CCC21,InChI=1S/C7H10FO2P/c8-11(910)7-3-6(7)4-1-2-5(4)7/h4-6H1-3H2(H910),XZGVMBITOKSDTN-UHFFFAOYSA-N,,0,0.470181,0.470125,0.427012
167,186,Molecule_186,OP(=O)(F)CC1CCC2CC21,1,OP(=O)(F)CC1CCC2CC21,InChI=1S/C7H12FO2P/c8-11(910)4-6-2-1-5-3-7(5)6/h5-7H1-4H2(H910),UODHEHCYNMQRNB-UHFFFAOYSA-N,,0,0.480683,0.47985,0.488307
168,187,Molecule_187,C=CC=C1CC1CP(O)(=O)F,1,C=CC=C1CC1CP(O)(=O)F,InChI=1S/C7H10FO2P/c1-2-3-6-4-7(6)5-11(89)10/h2-37H14-5H2(H910),PXCNHGLJGNHANQ-UHFFFAOYSA-N,,0,0.476884,0.480485,0.492947
169,188,Molecule_188,CC1C2CCCC21P(O)(=O)F,1,CC1C2CCCC21P(O)(=O)F,InChI=1S/C7H12FO2P/c1-5-6-3-2-4-7(56)11(89)10/h5-6H2-4H21H3(H910),PPOPWTRFCILMRQ-UHFFFAOYSA-N,,0,0.468315,0.468305,0.485612
170,189,Molecule_189,CC1(CCC1)CCP(O)(=O)F,1,CC1(CCC1)CCP(O)(=O)F,InChI=1S/C7H14FO2P/c1-7(3-2-4-7)5-6-11(89)10/h2-6H21H3(H910),OLMVJFRRGUEKFW-UHFFFAOYSA-N,,0,0.481058,0.478938,0.490119
171,190,Molecule_190,CC1CC2CC2(C1)P(O)(=O)F,1,CC1CC2CC2(C1)P(O)(=O)F,InChI=1S/C7H12FO2P/c1-5-2-6-4-7(63-5)11(89)10/h5-6H2-4H21H3(H910),XWLLPWXNTODDMI-UHFFFAOYSA-N,,0,0.473767,0.470338,0.487325
172,191,Molecule_191,OP(=O)(F)C1CCC2CC1C2,1,OP(=O)(F)C1CCC2CC1C2,InChI=1S/C7H12FO2P/c8-11(910)7-2-1-5-3-6(7)4-5/h5-7H1-4H2(H910),MOZTZYICZKGCDI-UHFFFAOYSA-N,,0,0.478139,0.476194,0.490908
173,192,Molecule_192,OP(=O)(F)C1CCCCC21CC2,1,OP(=O)(F)C1CCCCC21CC2,InChI=1S/C8H14FO2P/c9-12(1011)7-3-1-2-4-8(7)5-6-8/h7H1-6H2(H1011),WCKWIKSEUQESNR-UHFFFAOYSA-N,,0,0.481365,0.482227,0.490423
174,193,Molecule_193,OP(=O)(F)CC12CC1CC=CC2,1,OP(=O)(F)CC12CC1CC=CC2,InChI=1S/C8H12FO2P/c9-12(1011)6-8-4-2-1-3-7(8)5-8/h1-27H3-6H2(H1011),RGDGNZKEQFMRDO-UHFFFAOYSA-N,,0,0.485862,0.486723,0.495659
175,194,Molecule_194,OP(=O)(F)C12C3CCC1CC23,1,OP(=O)(F)C12C3CCC1CC23,InChI=1S/C7H10FO2P/c8-11(910)7-4-1-2-5(7)6(7)3-4/h4-6H1-3H2(H910),VFRKMANUWVIIHD-UHFFFAOYSA-N,,0,0.468942,0.46532,0.486692
176,195,Molecule_195,CC12CC1C2P(O)(=O)F,1,CC12CC1C2P(O)(=O)F,InChI=1S/C5H8FO2P/c1-5-2-3(5)4(5)9(67)8/h3-4H2H21H3(H78),INAJTRBIILJXLQ-UHFFFAOYSA-N,,0,0.481073,0.480663,0.497808
177,196,Molecule_196,OP(=O)(F)CCC1CC2CC12,1,OP(=O)(F)CCC1CC2CC12,InChI=1S/C7H12FO2P/c8-11(910)2-1-5-3-6-4-7(5)6/h5-7H1-4H2(H910),TYYKXXVFCGRDOD-UHFFFAOYSA-N,,0,0.48044,0.479,0.488614
178,197,Molecule_197,OP(=O)(F)CC1CC21CCC2,1,OP(=O)(F)CC1CC21CCC2,InChI=1S/C7H12FO2P/c8-11(910)5-6-4-7(6)2-1-3-7/h6H1-5H2(H910),MGOYBZNLXXPMEX-UHFFFAOYSA-N,,0,0.481509,0.478862,0.488299
179,198,Molecule_198,OP(=O)(F)CC1CC2CCC21,1,OP(=O)(F)CC1CC2CCC21,InChI=1S/C7H12FO2P/c8-11(910)4-6-3-5-1-2-7(5)6/h5-7H1-4H2(H910),ZZGMRWWBDAPGQS-UHFFFAOYSA-N,,0,0.479638,0.479062,0.450369
180,199,Molecule_199,CC1CC2C1CC2P(O)(=O)F,1,CC1CC2C1CC2P(O)(=O)F,InChI=1S/C7H12FO2P/c1-4-2-6-5(4)3-7(6)11(89)10/h4-7H2-3H21H3(H910),AFFMPAVRDRVABY-UHFFFAOYSA-N,,0,0.469517,0.469757,0.353366
181,200,Molecule_200,OP(=O)(F)C1C2C3CC123,1,OP(=O)(F)C1C2C3CC123,InChI=1S/C5H6FO2P/c6-9(78)4-3-2-1-5(23)4/h2-4H1H2(H78),QLADMJDUQLQQSS-UHFFFAOYSA-N,,0,0.474625,0.478626,0.48908
182,201,Molecule_201,OP(=O)(F)C1C=CCCCCC=1,1,OP(=O)(F)C1C=CCCCCC=1,InChI=1S/C8H12FO2P/c9-12(1011)8-6-4-2-1-3-5-7-8/h46-7H1-35H2(H1011),UQOSONBIQIZKHB-UHFFFAOYSA-N,,0,0.465155,0.464856,0.486573
