,Original_SMILES,QED,SA_score
120,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CNC(=O)CCCCCF)NC(=O)[C@H](CO)NC(=O)CN)C(N)=O,0.07330796331554829,3.8145594854340086
123,CCCCCC/C=C\CCCCCCCc1cccc(O)c1C(=O)O,0.2984358059377491,2.299105190672851
125,CC(C)(C)OC(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CCCCNC(=O)OCc1ccccc1)C(=O)O,0.07507226561632431,3.722438207502133
127,CN(Cc1ccccc1)C(=S)N1CCC(c2cccc(Cl)c2)=N1,0.7794935310560289,2.4656173953514564
128,CCOC(=O)c1ccc2ncc(C(=O)OCC)c(Nc3ccc(NC(C)=O)cc3)c2c1,0.5481422354843333,2.158187523231046
129,COCCOc1ccc(N2CCN(Cc3cccc(-c4cc5nc(-c6ccco6)nn5c(N)n4)c3)CC2)c(Cl)c1,0.25846091404453797,2.773124902944895
130,O=C([O-])c1cc(F)ccc1Cn1nnc(-c2cccc(/C=C/c3ccc4ccc(Cl)cc4n3)c2)n1.[Na+],0.3211365889010829,3.0326593719067425
132,COC(=O)/C=C1/C(=O)N2C1S(=O)(=O)[C@@](C)(COC(=O)CSc1nnnn1C)[C@@H]2C(=O)O,0.1929013644686823,4.256045155913775
133,NC(=O)c1ccccc1-n1cnc2ccccc21,0.7417171180284652,1.907940573920909
134,CC1CC(=O)NN=C1c1ccc(NC(=O)CCNCC(O)COc2cccc3[nH]ccc23)cc1.Cl,0.27398596727327557,3.473343492401167
135,CC(=O)c1cc2c(cc1O)OC(C)(C)C=C2,0.7370926080111196,2.7666654699816053
137,CN1CCc2cc3c4cc2[C@@H]1Cc1ccc(O)c(c1)Oc1ccc(cc1)C[C@H]1c2c(cc(O)c(c2O4)O3)CCN1C,0.22459057881230526,5.953233802160241
139,COC(=O)[C@H]1C[C@H](O)CCN1,0.4952736328525845,3.242552842832147
140,C=Cc1c(C)c2cc3nc(c(C(=O)C(=O)OC)c4[nH]c(cc5nc(cc1[nH]2)C(C)=C5CC)c(C)c4C(=O)OC)[C@@H](CCC(=O)OC)[C@@H]3C,0.11450051287488158,6.260536521768337
141,C[C@H]1[C@@H](OCC23CC4CC(CC(C4)C2)C3)O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]1[C@@]24OO3,0.5568140760238399,6.513378304534408
142,CCCCCCO[C@H]1C=C(C(=O)O)O[C@@H]([C@H](O)[C@H](O)CO)[C@@H]1NC(C)=O,0.30497782786668215,4.100128803181672
143,CC1(C)CCC(C)(C)c2cc3c(ccn3C(=O)c3ccc(C(=O)O)cc3)cc21,0.6543120969024104,2.5757352169903367
144,C[C@H](CCCn1nnc(-c2ccccc2)n1)N(c1cc(Cl)ccc1CO)S(=O)(=O)c1ccc(Cl)cc1,0.29342872808035814,3.096083709794425
145,C[C@H]1CC[C@@H](NCc2ccc3c(c2)Cc2c(-c4ccc(CC(=O)O)cc4)n[nH]c2-3)CC1,0.41663274898530994,2.5517852420639358
149,COc1ccc(C(=O)O[C@@H]2C3C[C@H](OC(=O)c4ccco4)[C@]4(C)[C@@H](OC(C)=O)[C@@H](OC(C)=O)C[C@](C)(O)C24OC3(C)C)cc1,0.35732941413797764,5.8392035314928625
150,O=C(c1cccc2c(NCCCCCCNc3c4ccccc4nc4c(C(=O)N5CCOCC5)cccc34)c3ccccc3nc12)N1CCOCC1,0.10898424218880225,2.9743075118111033
153,C=C(C)N1Cc2cccc3[nH]c(=O)n(c23)C(C)C1,0.8341679923906605,3.3152188046035818
156,Cc1nonc1-c1nc(S)n[nH]1,0.6272887747346189,3.5384107921770687
157,Cc1ccc(OCCCON/C(N)=N/C(N)=N/C(C)C)cc1C.Cl,0.29942677310603405,2.9146986693746335
161,CC(C#CCN1CCCC1)N(C)S(C)(=O)=O,0.6733611746133291,3.414394658968943
162,C/C(=C\CC1OC(=O)NC1=O)c1cccc(OCCc2nc(-c3ccccc3)oc2C)c1,0.5548641700465303,3.21072986348252
163,CC(=O)O[C@H]1c2c(ccc3ccc(=O)oc23)OC(C)(C)[C@H]1OC(C)=O,0.6091397712080626,3.4790003490464017
168,CCN(CC)C(=O)OCC1CN(C(=O)c2cc(OC)c(OC)c(OC)c2)CCN1C(=O)c1cc(OC)c(OC)c(OC)c1,0.3571777118480848,3.1815660830600923
169,O=C(CCNC(=O)[C@H](Cc1ccc(-c2ccccc2)cc1)NCP(=O)(Oc1ccccc1)Oc1ccccc1)OC1CCc2ccccc21,0.08599838499463663,3.5802739312577323
170,CCN(CC)c1nc(Cc2c(F)cccc2F)cc(=O)[nH]1,0.9211008543443596,2.752530888336679
171,CCCCOP(=O)(OCCCC)OC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)COc3ccccc3)[C@H]2CC1,0.19994891062523465,3.6554416799738467
172,c1cc2c(c(N3CCN(CCCCCc4c[nH]c5ccccc45)CC3)c1)OCCO2,0.5888628845059157,2.321863263507421
173,CN(C)CCNC(=O)C(=O)CCCCCCOc1ccc(-c2ccccc2)cc1,0.4116743330541682,2.087824328379428
174,Cc1ccccc1-c1cc(C(OCc2ccc(Cl)cc2)c2cncn2C)ccc1C#N,0.36633018870279555,2.9809618307015313
175,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)[C@H]1CO[C@@H](OCC2CCCCC2)CN1,0.59448730632887,4.045967160913856
178,COc1noc2c1CN(C)CC2.Cl,0.6867657279852879,2.9420740357231114
179,O=C(Nc1ccc(C[C@H](NC(=O)C2C3CCC(CC3)N2S(=O)(=O)c2c(Cl)cccc2Cl)C(=O)O)cc1)c1cc(Cl)nc(Cl)c1,0.24335096666562736,4.281672544202522
180,CCNC(=O)Nc1nc2cc(-c3cccnc3)cc(-c3cnn(C)c3)n2n1,0.5800477801632492,2.7094093937906845
186,CCOc1ccc(/C=C/C(=O)NCCCCN2CCN(C(c3ccccc3)c3ccccc3)CC2)cn1.O=C(O)C(=O)O,0.16344137952408777,2.64388686064566
187,CCNc1cccnc1N1CCN(C(=O)c2cnc3ccccc3c2)CC1,0.7739536769401105,2.1741674418769694
188,C#CCN(Cc1cc2c(O)nc(C)nc2cc1C)c1ccc(C(=O)N[C@@H](CCC(=O)N[C@@H](CCc2nnn[nH]2)C(=O)O)C(=O)O)c(F)c1,0.09899268260653178,4.193754581823931
189,CCCCCn1cc(C(=O)NC2C3CC4CC(C3)CC2C4)c(=O)c2ccccc21,0.7216536050304043,3.5436673451073615
190,OC(/C=C/C=C/c1ccccc1)CCc1ccccc1,0.773285808676253,2.4571912261543414
191,Cl.c1ccc(CCC2=NOC(c3ccccc3)C2)cc1,0.8077227182478638,2.6505965851436866
197,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)C[C@H]4C[C@](C)(O)C(=O)N4CCCc4cc(OC)cc(OC)c4)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,0.28973873889706087,5.011844928589829
204,CCCC(C)(C)C(=O)N[C@H]1CCCCNC1=O,0.7838411574921954,2.981456943729814
206,COc1cc2c(cc1OCCCSc1nnc3n1S(=O)(=O)c1ccccc1N3c1ccccc1)N=C[C@@H]1CCCN1C2=O,0.17141760974971698,3.7421127239988143
207,O=C(CCc1ccc(F)cc1)N[C@H]1CCOC1=O,0.8177281861883687,2.4269275466850306
208,COc1cc2c3c(c1O)Oc1cc4c(cc1O)CCN(C)[C@H]4Cc1ccc(O)c(c1)Oc1ccc(cc1)C[C@@H]2NCC3,0.22552490344423723,6.136088871194599
209,CC/C(=C\Cn1oc(=O)[nH]c1=O)c1cccc(OCc2nc(-c3ccc(C(F)(F)F)cc3)oc2C)c1,0.3567396452032765,3.0428899350535543
210,C#CCN(Cc1ccc2nc(C)nc(O)c2c1)c1ccc(C(=O)N[C@@H](C(=O)O)C(C)C)cc1,0.4554170391324496,3.145921292986964
211,CN(C)c1cccc2c(S(=O)(=O)Nc3cnc(Br)cn3)cccc12,0.7188054643111678,2.439471609960167
212,COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1c(-c2cc(OC)ccc2OC)nc2sccn12,0.5304700091176048,2.8606792920956856
214,CC(C)CSc1cc(SCC(C)C)nc(SCC(C)C)n1,0.3240442500229644,2.945968316788445
216,Cl/C=C/CCl,0.45351601747693665,3.8920638852469436
217,Cc1ccc(CNC(=O)NC(C(=O)N[C@@H](Cc2ccccc2)[C@@H](O)C[C@H](Cc2ccccc2)NC(=O)OCc2cccnc2)C(C)C)cn1,0.11690855087103799,3.8408174197375224
220,CN1CCN(CCNC(=O)COc2ccc3oc4c(NCCN5CCN(C)CC5)c5ccccc5[n+](C)c4c3c2)CC1,0.27859505812322816,3.0510216509073587
223,CC(=O)O[C@@H]1[C@H]2[C@@H](O)[C@@H](OC(=O)c3ccccc3)[C@]3(C)[C@@H](OC/C=C/c4ccccc4)CC[C@@H](C)[C@@]13OC2(C)C,0.47476154372365786,5.7524071650666375
225,COC[C@H]1OC(O)=C2C1=NC1=C(C(=O)COC1)[C@H]2c1ccc(F)c(Br)c1,0.8079479563678965,4.21154954078256
226,CC1CCN(C(=O)[C@H](CCCNc2ccccn2)NS(=O)(=O)c2ccc3ccccc3c2)CC1,0.45134434645901217,2.8064026876751846
227,O=C1NC(Cc2c[nH]c3ccccc23)C(=O)N2C(c3ccccc3)c3[nH]c4ccccc4c3C[C@@H]12,0.3766360345841333,3.4847382778169926
228,O=C(O)C(Cc1c[nH]c2ccccc12)NC(=O)C(CS)C1CCc2cc(O)ccc21,0.3757825107812361,3.530438183626682
230,CC(C)(C(=O)O)c1cccnc1Nc1ccc(Cl)cc1,0.8978510422108545,2.1657672639229055
231,CSc1sc(C(=N)N)cc1S(=O)(=O)c1cc(Br)c2c(c1)ncn2Cc1ccccc1,0.216744669674951,2.877062494276652
233,CCS(=O)(=O)c1ccc2oc(Cc3ccc(C)cc3)nc2c1,0.7388413857111324,2.1307469303877493
234,CCCNC(=O)[C@H](N)[C@@H](O)c1ccc([N+](=O)[O-])cc1,0.511432306562191,2.8793399115978957
235,CCOc1cc2cc3[n+](cc2cc1OC)CCc1cc2c(cc1-3)OCO2.[Cl-],0.6153378741394679,2.946121566233625
238,CCOC(=O)C(O)(c1ccc[nH]1)C(F)(F)F,0.7793335200649872,3.341574623190768
240,CC1(C)Oc2ccc3cc(CN)c(=O)oc3c2[C@@H](OC(=O)[C@@]23CC[C@](C)(C(=O)O2)C3(C)C)[C@H]1OC(=O)[C@@]12CC[C@](C)(C(=O)O1)C2(C)C,0.2785575049250786,6.094398803987515
242,C=CCNC(=O)C(=O)C(CCC)NC(=O)[C@@H]1[C@@H]2[C@H](CN1C(=O)[C@@H](NC(=O)N[C@H](CN1Cc3sccc3S1(=O)=O)C(C)(C)C)C(C)(C)C)C2(C)C,0.17813316302319795,4.971723773763004
243,COc1ccc([C@@]23Oc4cc(OC)cc(OC)c4[C@]2(O)[C@H](O)[C@H](C(=O)N(C)C)[C@H]3c2ccccc2)cc1,0.5315232548394518,3.9871557334257277
246,CC(=O)NC[C@H]1CN(c2ccc(N3CCN(S(=O)(=O)c4cccc(NC(C)=O)c4)CC3)c(F)c2)C(=O)O1,0.5550592305161144,2.9599366100125426
247,COc1ccc(OCC2=NC(c3ccccc3)c3ccccc3CN2C)cc1.Cl,0.586518091901542,2.8835559442478136
248,CC(C(=O)c1cc(C(F)(F)F)nn1-c1ccc2onc(N)c2c1)c1ccc(-c2ccccc2S(C)(=O)=O)cc1F,0.20133329037203884,3.4902376349723756
249,CCc1c(C#N)c(-c2ccc(-c3ccc(OC)cc3)cc2)c(C(=O)O)n1C,0.7267604168124917,2.2545296541457134
250,Cc1c(N2CC[C@@H]([C@H](C)N)C2)c(F)cc2c(=O)n(N)c(=O)n(C3CC3)c12,0.7892498399749052,3.5740066113831936
251,O=C1C[C@H](NC2CCOCC2)C(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@H](Cc2ccccc2)CN1,0.1701113073173787,4.609098495728732
252,COc1cc([C@@H]2c3cc4c(cc3[C@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1OC,0.3306293074843188,4.566560401172476
253,CC1=NOC(=O)/C1=C\c1cccs1,0.5055230848265287,2.9132073175763935
258,COC1=C2C[C@@H](C)C[C@H](OC)[C@H](OC(=O)CCN)[C@@H](C)/C=C(\C)[C@H](OC(N)=O)[C@@H](OC)/C=C\C=C(/C)C(=O)NC(=CC1=O)C2=O,0.2118712158522868,6.088543910489244
259,Cc1c(CN2CCCC2)c2cc(NC(=O)N[C@@H](Cc3ccc4ccccc4c3)C(=O)N[C@@H](CCCNC(=N)N)C(=O)NCc3ccccc3)ccc2n1Cc1c(Cl)cccc1Cl,0.02798943919483551,3.9750981537895296
260,N=C1NCC[C@H]([C@@H]2NC(=O)/C(=C/NC(N)=O)NC(=O)[C@H](CNC(=O)C[C@@H](N)CCCN)NC(=O)[C@H](CO)NC(=O)[C@H](N)CNC2=O)N1,0.09628062454959099,5.825563080100914
261,CCN(CC)Cc1c[nH]c(C)c(O)c1=O,0.7855459392022361,2.739149272650071
266,[Br-].[Br-].c1cc2nc(c1)C[n+]1ccn(c1)Cc1cc3ccccc3nc1Oc1ccc3ccccc3c1-c1c(ccc3ccccc13)Oc1nc3ccccc3cc1Cn1cc[n+](c1)C2,0.21081919837922353,6.824986001738365
269,NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc1ccc2ccc(OCc3ccccc3)cc2c1)[C@H](O)C(=O)NO,0.13743526353315175,3.3940845483650497
270,Cn1c(CSCC(=O)Nc2ccccc2)nnc1SCC(=O)Nc1ccccc1,0.5088708103042738,2.064707229213534
271,Cc1cn(C2C=CC(COP3(=O)OCc4cc(CCC(=O)OCc5ccccc5)ccc4O3)O2)c(=O)[nH]c1=O,0.23857525585701905,4.115744533228696
272,CC(C)(N)CNC(=O)C[C@@H]1CCC[C@]2(C1)OOC1(O2)C2CC3CC(C2)CC1C3,0.7178291387774792,5.8036219868131385
276,COc1ccccc1N1CCN(CC(O)c2ccc(O)c(C(N)=O)c2)CC1.Cl,0.674630145123971,2.6754834427548477
278,CCCN1CCO[C@H]2c3cc(C(N)=O)ccc3CC[C@@H]21,0.9153699161305874,3.1946075731814165
279,Fc1ccc(-c2nn3cc(Cl)ccc3c2-c2ccncc2)cc1,0.5273052156268869,2.237555616831468
281,CN1C(=O)[C@@H](N)CCCC/C=C/C[C@@H](C(=O)NCc2ccccc2)NC(=O)[C@@H]1Cc1ccc(O)cc1,0.47730561680815703,4.0388292181489795
282,N=C(N)NCCC[C@H](NC(=O)C[C@H](NC(=O)C[C@H](N)C(=O)N[C@@H](CC(=O)N[C@@H](CCCNC(=N)N)C(=O)O)C(=O)O)C(=O)O)C(=O)O,0.027230136237416602,4.158362983174856
283,CC(C)(C)[C@H](NC(=O)NC1(C(=O)OCc2ccco2)CCCCC1)C(=O)N1C[C@H]2[C@@H]([C@H]1C(=O)NC(CC1CC1)C(=O)C(N)=O)C2(C)C,0.19512634392390696,4.497241737962245
